idALEC;v1;v2;v3
A1;1;1;0
A2;1;0;0
A20;1;1;0
A3;1;1;0
A30;0;1;0
A31;1;1;0
A32;0;1;0
A4;1;1;0
A40;1;1;0
A41;1;1;0
A42;0;1;0
A43;1;1;0
A44;0;1;0
A5;1;1;0
A50;0;1;0
A51;0;1;0
A52;0;1;0
A53;0;1;0
A54;0;1;0
A55;0;1;0
A56;1;1;0
A6;0;1;0
A60;1;1;0
A61;0;1;0
A62;0;1;0
A63;0;1;0
Ar2;1;0;1
Ar3;1;0;1
At2;1;0;0
At3;1;0;0
At6;0;1;0
B1;1;0;0
B10;1;0;0
B11;1;1;0
B12;1;0;0
B13;1;0;0
B14;1;0;0
B15;1;1;0
B16;1;0;0
B4;1;0;0
B40;1;1;0
B6;1;0;0
Bo2;1;1;0
Bo3;0;1;1
Bo30;1;0;0
Bo31;1;1;0
Bo32;1;0;0
Bo4;1;1;0
Bo40;0;1;0
Bo41;1;1;0
Bo42;0;1;0
Bo43;1;1;0
Bo44;1;1;0
Bo45;0;1;0
Bo46;1;0;0
Bo47;0;1;0
Bo5;1;1;0
Bo50;1;1;0
Bo6;1;1;0
Bo60;1;0;0
C1;1;1;0
C2;1;1;0
C3;0;1;0
C4;0;1;0
C5;1;0;0
Ca1;1;0;0
Ca10;1;1;0
Ca2;1;1;0
Ca20;1;1;0
Ca21;1;0;0
Ca3;0;1;0
Ca30;1;1;0
Ca4;1;1;0
Ca40;1;1;0
Ce1;1;1;0
Ce2;0;1;0
Ce20;1;0;0
Ce3;1;1;0
Ce30;1;1;0
Ce4;1;0;0
Ce5;1;0;0
Ce50;1;0;0
Ch1;1;1;0
Ch10;0;0;0
Ch3;1;0;0
Ch30;1;1;0
Ch4;1;1;0
Ch5;1;0;0
Ch6;1;1;0
Ch60;1;1;0
Co1;1;0;0
Co10;1;0;0
Co11;1;0;0
Co2;0;0;0
Co3;1;1;0
Co30;1;1;0
Co4;1;0;0
Co40;1;0;0
Cq2;1;0;0
Cq3;1;1;0
Cs1;1;0;1
Cs3;1;1;0
Cs30;1;0;1
Cs31;1;0;0
Cs5;0;1;0
Cs6;1;1;0
Cu1;1;1;0
Cu10;0;1;0
Cu2;1;1;0
Cu20;0;1;0
Cu21;1;0;0
Cu3;1;1;0
Cu30;1;1;0
Cu31;0;1;0
Cu32;1;0;0
Cu33;1;1;0
Cu34;1;1;0
Cu4;1;0;0
Cu40;1;1;0
Cu41;1;0;0
Cu42;1;0;0
Cu43;1;1;0
Cu44;0;1;0
Cu45;1;1;0
Cu5;1;1;0
Cu50;1;1;0
Cu51;1;1;0
Cu52;0;1;0
Cu6;0;1;0
G3;1;1;0
G30;1;1;0
G31;0;1;0
G4;1;1;0
G40;1;1;0
G5;1;1;0
H2;1;1;0
H3;0;1;0
H30;0;1;0
H31;0;1;0
H4;0;1;0
H5;1;1;0
H50;0;1;0
M1;1;0;0
M2;1;0;0
M20;1;0;0
M21;0;1;0
M3;1;1;0
M30;0;1;0
M31;1;1;0
M4;0;1;0
Me1;1;1;0
Me10;1;1;0
Me2;1;1;0
N1;1;0;0
N3;1;0;0
N30;1;1;0
N31;1;1;0
N4;0;1;0
N40;0;1;0
N6;1;1;0
NS1;0;1;1
NS10;0;1;1
NS3;1;0;0
NS30;1;1;0
NS31;0;0;0
NS32;0;0;1
NS33;0;0;1
NS34;0;0;1
NS4;0;0;1
NS40;0;1;1
NS41;0;0;1
NS5;0;1;1
NS6;0;0;1
NS60;0;0;1
NS61;1;0;1
NS62;0;1;1
NS63;0;0;1
P1;1;1;0
Q1;1;0;0
R1;0;1;0
R3;1;1;0
R6;1;0;0
S1;1;1;0
S10;0;1;0
S11;1;1;1
S2;0;0;1
S3;1;0;0
S4;0;1;0
S40;0;1;0
S41;1;1;1
S42;0;1;0
S43;0;0;1
S44;1;1;0
S45;0;1;0
S5;0;1;0
S50;0;1;0
S51;0;1;0
S52;1;0;0
S6;0;1;0
S60;1;1;0
S61;0;1;0
Su1;1;0;0
Su10;1;0;0
Su2;1;1;0
Su3;1;0;0
Su4;0;1;0
Su6;1;0;0
T2;1;1;0
T20;1;1;0
T21;1;1;0
T22;1;1;0
T23;1;1;0
T3;0;1;0
T4;1;1;0
T40;1;1;0
T41;0;1;0
T42;1;1;0
T43;1;1;0
T44;1;1;0
T5;1;1;0
T50;1;0;0
T6;0;1;0
T60;1;1;0
V2;1;1;0
V20;1;1;0
V21;0;1;0
V3;1;1;0
V4;1;1;0
V40;0;1;0
V41;1;1;0
V42;1;1;0
V5;1;1;0
V6;1;1;0
V60;0;1;0
V61;1;1;0
V62;0;1;0
V63;1;0;0
