"idALEC";"V1";"V2"
"A1";0;1
"A2";0;1
"A20";0;1
"A3";0;1
"A30";1;0
"A31";0;1
"A32";1;0
"A4";1;0
"A40";1;1
"A41";1;0
"A42";1;0
"A43";1;0
"A44";1;0
"A5";1;0
"A50";0;1
"A51";0;0
"A52";1;0
"A53";1;0
"A54";1;0
"A55";1;0
"A56";0;0
"A6";1;0
"A60";0;1
"A61";0;1
"A62";1;0
"A63";0;0
"Ar2";0;1
"Ar3";1;0
"At2";0;1
"At3";0;1
"At6";0;1
"B1";0;1
"B10";0;1
"B11";0;1
"B12";0;1
"B13";0;0
"B14";0;1
"B15";0;1
"B16";0;1
"B4";0;1
"B40";0;1
"B6";0;0
"Bo2";1;0
"Bo3";1;0
"Bo30";0;1
"Bo31";1;0
"Bo32";0;0
"Bo4";0;1
"Bo40";1;0
"Bo41";1;0
"Bo42";1;0
"Bo43";0;1
"Bo44";1;1
"Bo45";1;0
"Bo46";0;1
"Bo47";1;0
"Bo5";0;1
"Bo50";1;0
"Bo6";0;0
"Bo60";0;1
"C1";1;0
"C2";1;0
"C3";1;0
"C4";1;0
"C5";1;0
"Ca1";1;1
"Ca10";1;0
"Ca2";1;0
"Ca20";1;0
"Ca21";1;0
"Ca3";1;0
"Ca30";0;1
"Ca4";1;1
"Ca40";0;0
"Ce1";1;0
"Ce2";0;1
"Ce20";0;0
"Ce3";0;0
"Ce30";1;0
"Ce4";1;0
"Ce5";1;0
"Ce50";1;0
"Ch1";0;1
"Ch10";0;1
"Ch3";1;1
"Ch30";1;1
"Ch4";0;1
"Ch5";0;1
"Ch6";0;1
"Ch60";0;1
"Co1";0;0
"Co10";1;0
"Co11";0;1
"Co2";0;1
"Co3";0;1
"Co30";0;1
"Co4";0;1
"Co40";0;1
"Cq2";1;0
"Cq3";0;1
"Cs1";0;1
"Cs3";1;0
"Cs30";1;0
"Cs31";1;0
"Cs5";1;0
"Cs6";1;0
"Cu1";1;0
"Cu10";1;0
"Cu2";1;0
"Cu20";1;0
"Cu21";1;0
"Cu3";1;0
"Cu30";1;0
"Cu31";1;0
"Cu32";1;0
"Cu33";1;0
"Cu34";1;1
"Cu4";1;0
"Cu40";0;1
"Cu41";1;0
"Cu42";1;0
"Cu43";1;0
"Cu44";1;0
"Cu45";1;0
"Cu5";1;0
"Cu50";1;0
"Cu51";1;0
"Cu52";0;1
"Cu6";1;0
"G3";1;0
"G30";0;1
"G31";0;0
"G4";0;1
"G40";0;0
"G5";1;0
"H2";1;0
"H3";1;0
"H30";1;0
"H31";1;0
"H4";1;0
"H5";0;1
"H50";0;1
"M1";0;0
"M2";1;0
"M20";0;1
"M21";0;1
"M3";0;1
"M30";0;1
"M31";0;1
"M4";0;1
"Me1";0;1
"Me10";0;1
"Me2";1;0
"N1";1;0
"N3";1;0
"N30";0;1
"N31";0;1
"N4";1;0
"N40";0;1
"N6";1;0
"NS1";1;0
"NS10";1;0
"NS3";1;0
"NS30";0;1
"NS31";1;0
"NS32";1;0
"NS33";1;0
"NS34";1;0
"NS4";0;1
"NS40";1;0
"NS41";0;1
"NS5";1;0
"NS6";1;0
"NS60";1;0
"NS61";1;0
"NS62";0;1
"NS63";1;0
"P1";1;0
"Q1";1;0
"R1";0;0
"R3";1;0
"R6";1;0
"S1";0;1
"S10";1;0
"S11";1;0
"S2";1;0
"S3";1;0
"S4";1;0
"S40";1;0
"S41";0;1
"S42";1;0
"S43";0;1
"S44";1;0
"S45";0;1
"S5";1;0
"S50";1;0
"S51";0;1
"S52";1;0
"S6";1;0
"S60";1;0
"S61";0;1
"Su1";0;0
"Su10";0;0
"Su2";1;0
"Su3";0;1
"Su4";0;1
"Su6";0;1
"T2";1;0
"T20";1;0
"T21";1;0
"T22";1;0
"T23";1;0
"T3";0;1
"T4";1;0
"T40";0;1
"T41";0;1
"T42";1;0
"T43";1;0
"T44";0;1
"T5";1;0
"T50";1;0
"T6";0;1
"T60";0;1
"V2";0;1
"V20";1;0
"V21";1;0
"V3";1;0
"V4";1;0
"V40";0;1
"V41";1;0
"V42";1;0
"V5";0;1
"V6";1;0
"V60";0;1
"V61";1;0
"V62";1;0
"V63";1;0
